application_number,filing_date,invention_subject_matter,application_type,examiner_name_last,examiner_name_first,examiner_name_middle,examiner_id,examiner_art_unit,uspc_class,uspc_subclass,confirm_number,customer_number,atty_docket_number,appl_status_code,appl_status_date,file_location,file_location_date,earliest_pgpub_number,earliest_pgpub_date,wipo_pub_number,wipo_pub_date,patent_number,patent_issue_date,abandon_date,disposal_type,invention_title,small_entity_indicator,aia_first_to_file
PCT/US99/14317,1999-06-24,?,PCT,None,None,None,,5331,000,000000,,None,SS2792,218,12jul1999 20:10:17,50C0,2001-06-11,,,200000295,2000-01-06,,,,PEND,AIR HANDLING SYSTEM FOR AN ADVANCED WEB FORMER,0,0
PCT/US99/14318,1999-06-24,?,PCT,HYUN,SOON,D,90899,2616,370,354000,,None,2214/101WO,256,10nov2001 00:00:00,9200,2006-03-27,,,200007337,2000-02-10,,,,PEND,APPARATUS AND METHOD FOR A TELEPHONY GATEWAY,0,0
PCT/US99/14319,1999-06-24,?,PCT,NECKEL,ALEXA,DOROSHENK,99599,1764,048,061000,,None,C-2143,256,10nov2001 00:00:00,9200,2006-03-27,,,199967018,1999-12-29,,,,PEND,SYSTEM FOR DESULFURIZING A FUEL CELL FOR USE IN A FUEL CELL POWER PLANT,0,0
PCT/US99/14320,1999-06-24,?,PCT,None,None,None,,5331,000,000000,,None,5555-525,218,07jul1999 20:09:50,9200,2006-03-27,,,200000491,2000-01-06,,,,PEND,BIFUNCTIONAL ANTAGONISTS OF CYTOKINE-SENSITIVE PROTEIN KINASE ACTIVATION CASCADES AND METHODS FOR,0,0
PCT/US99/14321,1999-06-24,?,PCT,None,None,None,,5331,000,000000,,None,SP-0641.1 WO,218,08jul1999 20:09:46,50C0,2001-06-11,,,200001022,2000-01-06,,,,PEND,ELECTROCHEMICAL CELL HAVING INCREASED ANODE-TO- CATHODE INTERFACE AREA,0,0
PCT/US99/14322,1999-06-24,?,PCT,ABBOTT-LEWIS,YVONNE,RENEE,84550,3644,119,161000,,None,5798PCT,256,10nov2001 00:00:00,9200,2006-03-27,,,199966788,1999-12-29,,,,PEND,ODOR CONTROL FOR ANIMAL LITTER,0,0
PCT/US99/14323,1999-06-24,?,PCT,HINDENBURG,MAX,F,97469,3736,600,595000,,None,CMD-98-2-PCT,256,10nov2001 00:00:00,9200,2006-03-27,,,200000081,2000-01-06,,,,PEND,PRESSURE RELIEF REMINDER AND COMPLIANCE SYSTEM,0,0
PCT/US99/14324,1999-06-24,?,PCT,EPPS -SMITH,JANET,L,97684,1635,514,044000,,None,9175-010-228,256,10nov2001 00:00:00,9200,2006-03-27,,,199967400,1999-12-29,,,,PEND,TISSUE-SPECIFIC AND TARGET RNA-SPECIFIC RIBOZYMES,0,0
PCT/US99/14325,1999-06-24,?,PCT,None,None,None,,5331,000,000000,,None,PIM-010.25,218,12jul1999 20:09:11,9200,2006-03-27,,,199967737,1999-12-29,,,,PEND,DUAL MODE TRACKING SYSTEM,0,0
PCT/US99/14326,1999-06-24,?,PCT,None,None,None,,5331,000,000000,,None,626220520002,218,08jul1999 20:09:06,9200,2006-03-27,,,200032952,2000-06-08,,,,PEND,OOZE FLOW BEARING,0,0
PCT/US99/14327,1999-06-24,?,PCT,None,None,None,,5331,000,000000,,None,17549-020,218,08jul1999 20:09:02,9200,2006-03-27,,,199967594,1999-12-29,,,,PEND,METHOD AND APPARATUS FOR MEASURING THE SIZE OF DROPS OF A VISCOUS MATERIAL DISPENSED FROM A,0,0
PCT/US99/14328,1999-06-24,?,PCT,None,None,None,,5331,000,000000,,None,RD26250,218,12jul1999 20:08:57,9200,2006-03-27,,,200029461,2000-05-25,,,,PEND,METHOD FOR CONDUCTING SOLID STATE POLYMERIZATION OF POLYCARBONATES,0,0
PCT/US99/14329,1999-06-24,?,PCT,None,None,None,,5331,000,000000,,None,EMU 2015 PCT,218,08jul1999 20:08:51,9200,2006-03-27,,,199966936,1999-12-29,,,,PEND,"USE OF 3'-AZIDO-2',3'-DIDEOXYURIDINE",0,0
PCT/US99/14330,1999-06-24,?,PCT,POKRZYWA,JOSEPH,R,99307,2625,358,001150,,None,1273B,256,10nov2001 00:00:00,9200,2006-03-27,,,200002370,2000-01-13,,,,PEND,APPARATUS AND METHOD FOR AUTOMATIC E-MAIL RETRIEVAL AND FOR PROVIDING A VISUAL INDICATION OF,0,0
PCT/US99/14331,1999-06-24,?,PCT,OEN,WILLIAM,L,63350,2855,073,180000,,None,85-11,256,10nov2001 00:00:00,9200,2006-03-27,,,200002008,2000-01-13,,,,PEND,IMPROVEMENTS TO MULTIFUNCTION AIRCRAFT PROBES,0,0
PCT/US99/14332,1999-06-24,?,PCT,None,None,None,,5331,000,000000,,None,UV/083 PCT,218,07jul1999 20:08:26,9200,2006-03-27,,,200002385,2000-01-13,,,,PEND,ELECTRONIC PROGRAM GUIDE USING MARKUP LANGUAGE,0,0
PCT/US99/14333,1999-06-24,?,PCT,None,None,None,,5332,000,000000,,None,201337,218,12jul1999 20:08:21,9200,2006-03-27,,,200000628,2000-01-06,,,,PEND,RECOMBINANT ADENOVIRUS,0,0
PCT/US99/14334,1999-06-24,?,PCT,None,None,None,,5332,000,000000,,None,ARF97007,218,15jul1999 20:08:16,9200,2006-03-27,,,200001498,2000-01-13,,,,PEND,QUICK CHANGE PILER DIE AND ASSMBLY OF SAME WITH ROLLSTAND ARBOR,0,0
PCT/US99/14335,1999-06-24,?,PCT,None,None,None,,5332,000,000000,,None,RD25947,218,12jul1999 20:08:11,9200,2006-03-27,,,200024805,2000-05-04,,,,PEND,PROCESSABLE POLYCARBONATES CONTAINING ALKYL CARBONATE END GROUPS,0,0
PCT/US99/14336,1999-06-24,?,PCT,MEHTA,ASHWIN,D,63093,1638,800,025000,,None,19603/2382,256,10nov2001 00:00:00,9200,2006-03-27,,,199966785,1999-12-29,,,,PEND,WATER STRESS OR SALT STRESS TOLERANT TRANSGENIC CEREAL PLANTS,0,0
PCT/US99/14338,1999-06-24,?,PCT,CAPOSSELA,RONALD,C,99181,3744,062,624000,,None,99-40,566,07oct1999 00:00:00,9200,2006-03-27,,,199967587,1999-12-29,,,,PEND,SYSTEM AND PROCESS FOR THE PRODUCTION OF A SYNTHESIS GAS HAVING A SPECIFIC H2/CO RATIO AND A,0,0
PCT/US99/14339,1999-06-24,?,PCT,None,None,None,,5332,000,000000,,None,22045,218,15jul1999 20:07:43,9200,2006-03-27,,,199966827,1999-12-29,,,,PEND,LATERAL WALL RETRACTOR VAGINAL SPECULUM,0,0
PCT/US99/14340,1999-06-24,?,PCT,None,None,None,,5332,000,000000,,None,RD24295,218,12jul1999 20:07:39,9200,2006-03-27,,,200023499,2000-04-27,,,,PEND,CONTINUOUS INTERFACIAL METHOD FOR PREPARING AROMATIC POLYCARBONATES,0,0
PCT/US99/14341,1999-06-24,?,PCT,VALENTINE,DONALD,R,98140,1741,429,026000,,None,C-2069,256,10nov2001 00:00:00,9200,2006-03-27,,,199967830,1999-12-29,,,,PEND,MASS AND HEAT RECOVERY SYSTEM FOR A FUEL CELL POWER PLANT,0,0
PCT/US99/14342,1999-06-24,?,PCT,EVORA,ROBERT,Z,71362,3746,417,505000,,None,DDTC0173PCT,256,10nov2001 00:00:00,9200,2006-03-27,,,200000742,2000-01-06,,,,PEND,ARMATURE FOR FUEL INJECTION SYSTEM CONTROL VALVE,0,0
PCT/US99/14343,1999-06-24,?,PCT,LE,THIEN,MINH,64080,2876,235,385000,,None,PT02940UP01,256,10nov2001 00:00:00,9200,2006-03-27,,,200003328,2000-01-20,,,,PEND,METHOD AND APPARATUS IN A WIRELESS COMMUNICATION SYSTEM FOR USING A SELECTIVE CALL RECEIVER TO,0,0
PCT/US99/14344,1999-06-24,?,PCT,None,None,None,,5332,000,000000,,None,IR 6143-00,218,15jul1999 20:07:02,9200,2006-03-27,,,200000189,2000-01-06,,,,PEND,METHOD FOR REDUCING THE DAMAGING EFFECTS OF RADIATION THERAPY ON ANIMAL SKIN AND MUCOSA,0,0
PCT/US99/14345,1999-06-24,?,PCT,WALKER,MISTY,F,92867,5332,000,000000,,None,UV/076 PCT,218,16jul1999 20:06:59,9200,2006-03-27,,,200002380,2000-01-13,,,,PEND,INTERACTIVE TELEVISION PROGRAM GUIDE SYSTEM WITH LOCAL ADVERTISEMENTS,0,0
PCT/US99/14346,1999-06-24,?,PCT,FOELAK,MORTON,,96718,1711,521,050000,,None,00627000087,256,10nov2001 00:00:00,9200,2006-03-27,,,200002958,2000-01-20,,,,PEND,IMPROVED LATEX FOAM,0,0
PCT/US99/14347,1999-06-23,?,PCT,SWITZER,JULIET,CAROLINE,60105,1655,435,006000,,None,UTFD553P,256,10nov2001 00:00:00,9200,2006-03-27,,,199967426,1999-12-29,,,,PEND,ABSORPTIVE HYPERCALCIURIA LOCUS ON HUMAN CHROMOSOME I,0,0
PCT/US99/14348,1999-06-24,?,PCT,TENTONI,LEO,B,68338,1732,264,029100,,None,PENG 4-17,256,10nov2001 00:00:00,9200,2006-03-27,,,200005172,2000-02-03,,,,PEND,METHOD OF MAKING MOSOPOROUS CARBON USING PORE FORMERS,0,0
PCT/US99/14349,1999-06-24,?,PCT,LAMB,BRENDA,A,62705,1734,118,420000,,None,ABBOTT 7,256,10nov2001 00:00:00,9200,2006-03-27,,,200005608,2000-02-03,,,,PEND,FIBER COATING ASSEMBLY HAVING A COOLED GUIDE DIE AND METHOD OF USING THE SAME,0,0
PCT/US99/14350,1999-06-24,?,PCT,HENDRICKSON,STUART,L,98421,1754,502,416000,,None,PENG 5-18,256,10nov2001 00:00:00,9200,2006-03-27,,,200004992,2000-02-03,,,,PEND,METHOD OF MAKING ACTIVATED CARBON DERIVED PITCHES,0,0
PCT/US99/14351,1999-06-24,?,PCT,MOEZIE,FATEMEH,T,61493,1653,514,178000,,None,LDS-0527,256,10nov2001 00:00:00,9200,2006-03-27,,,200000181,2000-01-06,,,,PEND,AQUEOUS COMPOSITIONS CONTAINING CORTICOSTEROIDS FOR NASAL AND PULMONARY DELIVERY,0,0
PCT/US99/14352,1999-06-24,?,PCT,KIM,JENNIFER,M,68971,1617,514,310000,,None,719-119 PCT,256,10nov2001 00:00:00,9200,2008-05-05,,,200000199,2000-01-06,,,,PEND,NASAL DELIVERY OF SILDENAFIL CITRATE,0,0
PCT/US99/14353,1999-06-24,?,PCT,TUNG,MARY BETH,,81121,1644,530,387100,,None,99-40123 WO,256,10nov2001 00:00:00,9200,2006-03-27,,,199967269,1999-12-29,,,,PEND,NUCLEIC ACID MOLECULE ENCODING AN ANKYRIN REPEAT TVL-1 PROTEIN AND METHODS OF USE THEREOF,0,0
PCT/US99/14354,1999-06-24,?,PCT,GOLDBERG,JEROME,D,65463,1614,514,310000,,None,A3230A-WO,256,10nov2001 00:00:00,9200,2006-03-27,,,200000159,2000-01-06,,,,PEND,METHOD OF TREATMENT FOR DERMATOLOGICAL DISORDERS AND COMPOSITIONS THEREFOR,0,0
PCT/US99/14355,1999-06-24,?,PCT,HASTINGS,KAREN,M,90849,1731,162,205000,,None,NONE,566,27oct1999 00:00:00,9200,2006-03-27,,,200006825,2000-02-10,,,,PEND,AIR PUMPING BELT,0,0
PCT/US99/14356,1999-06-25,?,PCT,SMITH,DUANE,,94642,1724,055,497000,,None,440106/PALL,256,10nov2001 00:00:00,9200,2006-03-27,,,200000721,2000-01-06,,,,PEND,INTERNAL COMBUSTION ENGINE EXHAUST FILTERS,0,0
PCT/US99/14357,1999-06-25,?,PCT,OCAMPO,MARIANNE,S,61246,1723,210,497010,,None,440103/PALL,256,10nov2001 00:00:00,9200,2006-03-27,,,200000263,2000-01-06,,,,PEND,FILTER ELEMENT AND METHOD OF MAKING A FILTER ELEMENT,0,0
PCT/US99/14358,1999-06-24,?,PCT,DANGANAN,JONI,BALDOS,73784,3723,081,061000,,None,A-20853.PCT,256,10nov2001 00:00:00,9200,2006-03-27,,,199967058,1999-12-29,,,,PEND,RATCHET WRENCH,0,0
PCT/US99/14359,1999-06-24,?,PCT,None,None,None,,5332,000,000000,,None,98-28-SE PCT,218,19jul1999 20:04:32,9200,2006-03-27,,,199967604,1999-12-29,,,,PEND,MONITORING LIQUID LEVEL IN A CONTAINER WITH A CAPACITIVE TRANSDUCER,0,0
PCT/US99/14360,1999-06-24,?,PCT,None,None,None,,5332,000,000000,,None,7319.2-304,218,15jul1999 20:04:27,9200,2006-03-27,,,200000294,2000-01-06,,,,PEND,WET SCRUBBER AND PAINT SPRAY BOOTH INCLUDING THE WET SCRUBBER,0,0
PCT/US99/14361,1999-06-24,?,PCT,None,None,None,,5332,000,000000,,None,VKB-65900,218,15jul1999 20:04:20,9200,2006-03-27,,,200001219,2000-01-13,,,,PEND,IRRIGATION TUBE WITH FLEXIBLE MARGIN,0,0
PCT/US99/14362,1999-06-25,?,PCT,LEUNG,PHILIP,H,65827,3742,219,663000,,None,19732-013,256,10nov2001 00:00:00,9200,2006-03-27,,,200003563,2000-01-20,,,,PEND,RF POWER SUPPLY,0,0
PCT/US99/14363,1999-06-24,?,PCT,FAN,CHIEH,M,88665,2632,375,297000,,None,QCPA571PCT,256,10nov2001 00:00:00,9200,2006-03-27,,,200001065,2000-01-06,,,,PEND,PREDISTORTION TECHNIQUE FOR HIGH POWER AMPLIFIERS,0,0
PCT/US99/14364,1999-06-24,?,PCT,VINCENT,DAVID,ROBERT,69576,2661,370,545000,,None,QCPA568PCT,256,10nov2001 00:00:00,9200,2006-03-27,,,199967906,1999-12-29,,,,PEND,METHOD AND APPARATUS FOR DISTRIBUTING AND CONSOLIDATING DATA PACKETS ONTO MULTIPLE NETWORK,0,0
PCT/US99/14365,1999-06-24,?,PCT,None,None,None,,5332,000,000000,,None,QCPA564PCT,218,15jul1999 20:03:47,9200,2006-03-27,,,200001190,2000-01-06,,,,PEND,METHOD AND APPARATUS FOR CONTROLLING DATA TRANSFER BETWEEN TWO STATIONS,0,0
PCT/US99/14367,1999-06-25,?,PCT,None,None,None,,5333,000,000000,,None,SCON-10,218,14jul1999 20:03:31,9200,2006-03-27,,,200000397,2000-01-06,,,,PEND,LABELING APPARATUS AND METHODS THEREOF,0,0
PCT/US99/14368,1999-06-25,?,PCT,HOWELL,DANIEL,W,62194,3722,408,23900R,,None,0275Y0222PCA,256,10nov2001 00:00:00,9200,2006-03-27,,,200000314,2000-01-06,,,,PEND,QUICK-ACTING TOOL BIT HOLDER,0,0
PCT/US99/14369,1999-06-24,?,PCT,MAIER,LEIGH,C,77820,1673,514,023000,,None,A3219A-WO,256,10nov2001 00:00:00,9200,2006-03-27,,,199966937,1999-12-29,,,,PEND,ERYTHROMYCIN COMPOSITIONS,0,0
PCT/US99/14370,1999-06-24,?,PCT,None,None,None,,5333,000,000000,,None,WC/431,218,12jul1999 20:02:58,9200,2006-03-27,,,200003282,2000-01-20,,,,PEND,PHOTONIC DEVICE HAVING AN INTEGRAL GUIDE AND METHOD OF MANUFACTURING,0,0
PCT/US99/14371,1999-06-25,?,PCT,RAPP,CHAD,,90994,2121,700,108000,,None,NONE,256,10nov2001 00:00:00,9200,2006-03-27,,,200109723,2001-02-08,,,,PEND,METHOD AND APPARATUS FOR COLLECTING MANUFACTURING EQUIPMENT DOWNTIME DATA,0,0
PCT/US99/14372,1999-06-24,?,PCT,None,None,None,,5333,000,000000,,None,10226/003WO1,218,14jul1999 20:02:36,9200,2006-03-27,,,199967911,1999-12-29,,,,PEND,METHOD AND SYSTEM FOR CONTROLLING A DIGITAL SUBSCRIBER LINE,0,0
PCT/US99/14373,1999-06-25,?,PCT,None,None,None,,5333,000,000000,,None,0609.456PC02,218,15jul1999 20:02:30,9200,2006-03-27,,,199967397,1999-12-29,,,,PEND,"DE NOVO DNA CYTOSINE METHYLTRANSFERASE GENES, POLYPEPTIDES AND USES THEREOF",0,0
PCT/US99/14374,1999-06-25,?,PCT,KOCZO JR,MICHAEL,,84400,3748,060,620000,,None,EPA-B697,256,11nov2001 00:00:00,5060,2000-05-30,,,200009879,2000-02-24,,,,PEND,DUAL-CYLINDER EXPANDER ENGINE AND COMBUSTION METHOD WITH TWO EXPANSION STROKES PER CYCLE,0,0
PCT/US99/14375,1999-06-25,?,PCT,None,None,None,,5333,000,000000,,None,33427-00/PCT,218,14jul1999 20:02:15,9200,2006-03-27,,,200000614,2000-01-06,,,,PEND,NOVEL ANTIGENS OF HELICOBACTER PYLORI,0,0
PCT/US99/14376,1999-06-24,?,PCT,None,None,None,,5333,000,000000,,None,6502.157-304,218,15jul1999 20:02:08,9200,2006-03-27,,,200001170,2000-01-06,,,,PEND,"METHOD, APPARATUS, AND ARTICLE OF MANUFACTURE FOR PROCESSING A VIRTUAL CALL IN A MULTI-THREADED",0,0
PCT/US99/14377,1999-06-24,?,PCT,HOPKINS,ROBERT,A,72113,1724,055,503000,,None,440101/PALL,256,10nov2001 00:00:00,9200,2006-03-27,,,199967007,1999-12-29,,,,PEND,PURIFICATION ASSEMBLIES AND PURIFICATION METHODS,0,0
PCT/US99/14378,1999-06-24,?,PCT,None,None,None,,5333,000,000000,,None,032355-015,218,14jul1999 20:01:43,50C0,2001-06-11,,,199966933,1999-12-29,,,,PEND,METHOD OF ADMINISTRATION OF SILDENAFIL TO PRODUCE INSTANTANEOUS RESPONSE FOR THE TREATMENT OF,0,0
PCT/US99/14380,1999-06-25,?,PCT,TRAN,HIEN,THI,97359,1764,422,139000,,None,US 110088,256,10nov2001 00:00:00,9200,2006-03-27,,,200001484,2000-01-13,,,,PEND,VANADIUM REMOVAL IN FCC BY USE OF AN OUTBOARD VESSEL,0,0
PCT/US99/14381,1999-06-25,?,PCT,GHYKA,ALEXANDER,G,99215,2812,502,350000,,None,US 110087,256,10nov2001 00:00:00,9200,2006-03-27,,,200001482,2000-01-13,,,,PEND,VANADIUM TRAP MATERIALS FOR USE IN FCC WITH AN OUTBOARD VESSEL,0,0
PCT/US99/14382,1999-06-25,?,PCT,None,None,None,,5333,000,000000,,None,201574,218,14jul1999 20:01:04,9200,2006-03-27,,,200000619,2000-01-06,,,,PEND,MATERIALS AND METHODS FOR THE ALTERATION OF ENZYME AND ACETYL COA LEVELS IN PLANTS,0,0
PCT/US99/14383,1999-06-24,?,PCT,None,None,None,,5333,000,000000,,None,290252021640,218,20jul1999 20:01:00,9200,2006-03-27,,,199966846,1999-12-29,,,,PEND,"DETACHABLE, VARYING FLEXIBILITY, ANEURYSM NECK BRIDGE",0,0
PCT/US99/14384,1999-06-24,?,PCT,ZAGHMOUT,OUSAMA,M,70229,1638,800,260000,,None,23070-776-2P,256,10nov2001 00:00:00,5060,2001-07-02,,,199967405,1999-12-29,,,,PEND,LEAFY COTYLEDON1 GENES AND THEIR USES,0,0
PCT/US99/14385,1999-06-24,?,PCT,NGUYEN,ANH TUAN,TUONG,83559,3763,604,096010,,None,CVN-002 PCT,256,10nov2001 00:00:00,9200,2006-03-27,,,199966977,1999-12-29,,,,PEND,PERFUSION CATHETER PROVIDING SEGMENTED FLOW REGIONS AND METHODS OF USE,0,0
PCT/US99/14386,1999-06-24,?,PCT,None,None,None,,5333,000,000000,,None,7357-0006.41,218,14jul1999 20:00:28,9200,2006-03-27,,,200000238,2000-01-06,,,,PEND,TOPOISOMERASE INHIBITORS FOR PREVENTION OF RESTENOSIS,0,0
PCT/US99/14387,1999-06-24,?,PCT,None,None,None,,5333,000,000000,,None,FP66828-2RMS,218,19jul1999 20:00:23,9200,2006-03-27,,,199967641,1999-12-29,,,,PEND,DECODING OF ARRAY SENSORS WITH MICROSPHERES,0,0
PCT/US99/14388,1999-06-24,?,PCT,None,None,None,,5333,000,000000,,None,MEMC 2470,218,20jul1999 20:00:19,9200,2006-03-27,,,200000664,2000-01-06,,,,PEND,IMPROVED SUSCEPTOR FOR BARREL REACTOR,0,0
PCT/US99/14389,1999-06-25,?,PCT,BENSTON JR,WILLIAM,E,94159,1615,424,489000,,None,3790-51379,256,10nov2001 00:00:00,9200,2006-03-27,,,200002535,2000-01-20,,,,PEND,IMPROVED STABLE TOPICAL ASCORBIC ACID COMPOSITIONS,0,0
PCT/US99/14390,1999-06-25,?,PCT,CHAMPAGNE,DONALD,,60991,1765,438,706000,,None,EBSI114120Q,256,10nov2001 00:00:00,9200,2006-03-27,,,200000678,2000-01-06,,,,PEND,CRYSTALLIZATION MEDIA,0,0
PCT/US99/14391,1999-06-25,?,PCT,WAKS,JOSEPH,,72666,2834,310,216000,,None,03-SM-6723,256,10nov2001 00:00:00,9200,2006-03-27,,,200001058,2000-01-06,,,,PEND,ROTORS USING A STEPPED SKEW,0,0
PCT/US99/14392,1999-06-25,?,PCT,None,None,None,,5333,000,000000,,None,DM6966,218,14jul1999 19:59:37,9200,2006-03-27,,,200000481,2000-01-06,,,,PEND,CYCLIC CARBAMATES AND ISOXAZOLIDINES AS IIB/IIIA ANTAGONISTS,0,0
PCT/US99/14393,1999-06-25,?,PCT,None,None,None,,5333,000,000000,,None,AD6621,218,14jul1999 19:59:33,9200,2006-03-27,,,0,2001-01-04,,,,PEND,COLORED AND GRADIENT BAND POLYVINYL BUTYRAL INTERLAYER WITH IMPROVED HAZE PROPERTIES AND,0,0
PCT/US99/14394,1999-06-25,?,PCT,None,None,None,,5333,000,000000,,None,AD6620,218,19jul1999 19:59:28,9200,2006-03-27,,,,,,,,PEND,INTERLAYER COMPOSITE STRUCTURE FOR LAMINATED GLASS WITH CONTROLLED BONDING BETWEEN THE LAYERS AND THE,0,0
PCT/US99/14395,1999-06-25,?,PCT,None,None,None,,5333,000,000000,,None,DM6968,218,14jul1999 19:59:24,9200,2006-03-27,,,200000478,2000-01-06,,,,PEND,SUBSTITUTED QUINOXALIN-2(1H)-ONES USEFUL AS HIV REVERSE TRANSCRIPTASE INHIBITORS,0,0
PCT/US99/14396,1999-06-25,?,PCT,None,None,None,,5333,000,000000,,None,DM6990,218,14jul1999 19:59:20,9200,2006-03-27,,,200000475,2000-01-06,,,,PEND,SUBSTITUTED QUINOLIN-2(1H)-ONES USEFUL AS HIV REVERSE TRANSCRIPTASE INHIBITORS,0,0
PCT/US99/14397,1999-06-25,?,PCT,None,None,None,,5333,000,000000,,None,CL1247,218,14jul1999 19:59:15,9200,2006-03-27,,,199967304,1999-12-29,,,,PEND,AROMATIC POLYMERS WITH PENDANT FLUORINATED IONIC GROUPS,0,0
PCT/US99/14398,1999-06-25,?,PCT,None,None,None,,5333,000,000000,,None,600.438WO1,218,14jul1999 19:59:10,9200,2006-03-27,,,200000620,2000-01-06,,,,PEND,DNA ENCODING METHYMYCIN AND PIKROMYCIN,0,0
PCT/US99/14399,1999-06-25,?,PCT,CHEN,JOSE,V,66163,3636,108,051110,,None,RPC0120PCT,256,10nov2001 00:00:00,9200,2006-03-27,,,200001588,2000-01-13,,,,PEND,PALLET ASSEMBLY,0,0
PCT/US99/14400,1999-06-25,?,PCT,None,None,None,,5331,000,000000,,None,X-10810,218,13jul1999 19:58:52,9200,2006-03-27,,,200000487,2000-01-06,,,,PEND,5-HT1F AGONISTS,0,0
PCT/US99/14401,1999-06-26,?,PCT,GRANT,CHRISTOPHER,C,63327,2623,345,328000,,None,34897PCT/LTR,256,10nov2001 00:00:00,9200,2006-03-27,,,200001141,2000-01-06,,,,PEND,METHOD AND APPARATUS FOR INTERMITTENT TRANSMISSION OF TELEVISION PROGRAM GUIDE DATA,0,0
PCT/US99/14402,1999-06-25,?,PCT,CHIN,PETER,,75284,1731,162,127000,,None,13050,256,10nov2001 00:00:00,9200,2006-03-27,,,200000698,2000-01-06,,,,PEND,TISSUE WITH STRIKETHROUGH RESISTANCE,0,0
PCT/US99/14403,1999-06-25,?,PCT,MULVANEY,ELIZABETH,EVANS,64115,1774,428,195000,,None,14538.10,256,10nov2001 00:00:00,9200,2006-03-27,,,200000267,2000-01-06,,,,PEND,STABLE ELECTRET POLYMERIC ARTICLES,0,0
PCT/US99/14404,1999-06-25,?,PCT,JOHNSTONE,ADRIENNE,C,94846,1733,156,271000,,None,13224,256,10nov2001 00:00:00,9200,2006-03-27,,,200000135,2000-01-06,,,,PEND,A PROCESS FOR MAKING A SHAPED PRODUCT WITH NO MATERIAL WASTE,0,0
PCT/US99/14405,1999-06-25,?,PCT,DILLON JR,JOSEPH,A,78428,3651,221,033000,,None,13782,256,10nov2001 00:00:00,9200,2006-03-27,,,200000072,2000-01-06,,,,PEND,INTERFOLDED DISPENSER NAPKINS,0,0
PCT/US99/14406,1999-06-25,?,PCT,CHIN,PAUL,T,62371,3652,294,081100,,None,A98019WO,256,10nov2001 00:00:00,9200,2006-03-27,,,199967166,1999-12-29,,,,PEND,SPREADER BAR APPARATUS,0,0
PCT/US99/14407,1999-06-25,?,PCT,GOUDREAU,GEORGE,A,68072,1765,438,689000,,None,98-1935/INT,256,10nov2001 00:00:00,9200,2006-03-27,,,199967813,1999-12-29,,,,PEND,ELECTROSTATIC PRINTING OF A METALLIC TONER TO PRODUCE A POLYCRYSTALLINE SEMICONDUCTOR FROM AN,0,0
PCT/US99/14408,1999-06-25,?,PCT,NGUYEN,HOANG,V,72789,2845,343,786000,,None,IL-10200 FOR,256,10nov2001 00:00:00,9200,2006-03-27,,,199967855,1999-12-29,,,,PEND,A LOW COST IMPULSE COMPATIBLE WIDEBAND ANTENNA,0,0
PCT/US99/14409,1999-06-25,?,PCT,HU,SHOUXIANG,,88463,2898,257,734000,,None,IL-9615 FOR,256,10nov2001 00:00:00,9200,2006-03-27,,,200001006,2000-01-06,,,,PEND,"LOW RESISTANCE BARRIER LAYER FOR ISOLATING, ADHERING, AND PASSIVATING COPPER METAL IN",0,0
PCT/US99/14410,1999-06-25,?,PCT,DI NOLA BARON,LILIANA,,63252,1615,424,484000,,None,1581/120 WO,256,10nov2001 00:00:00,9200,2006-03-27,,,199966870,1999-12-29,,,,PEND,A DEVICE AND METHOD FOR THE TREATMENT OF ERECTILE DYSFUNCTION,0,0
PCT/US99/14411,1999-06-25,?,PCT,MUSSER,BARBARA,J,64859,1733,156,470000,,None,UCM 128 P2-P,256,10nov2001 00:00:00,9200,2006-03-27,,,200000347,2000-01-06,,,,PEND,SINGLE FACER PREHEATER,0,0
PCT/US99/14412,1999-06-25,?,PCT,None,None,None,,5331,000,000000,,None,SP-2720 PCT,218,15jul1999 19:56:58,9200,2006-03-27,,,200001068,2000-01-06,,,,PEND,CLOCK DUTY CYCLE CONTROL TECHNIQUE,0,0
PCT/US99/14413,1999-06-25,?,PCT,MARKOFF,ALEXANDER,,83647,1746,134,010000,,None,234/174WO,256,10nov2001 00:00:00,9200,2006-03-27,,,200002672,2000-01-20,,,,PEND,CLEANING APPARATUS,0,0
PCT/US99/14414,1999-06-25,?,PCT,MARKOFF,ALEXANDER,,83647,1746,134,200000,,None,240/190WO,256,10nov2001 00:00:00,9200,2006-03-27,,,200002675,2000-01-20,,,,PEND,AUTOMATED SEMICONDUCTOR PROCESSING SYSTEM,0,0
PCT/US99/14415,1999-06-24,?,PCT,NGUYEN,HIEP,T,65356,2759,711,144000,,None,42390.P5329,256,10nov2001 00:00:00,9200,2006-03-27,,,200007107,2000-02-10,,,,PEND,A METHOD AND APPARATUS FOR PERFORMING CACHE ACCESSES,0,0
PCT/US99/14416,1999-06-25,?,PCT,LILLING,HERBERT,J,65634,1651,424,195100,,None,008955-F8267,256,10nov2001 00:00:00,9200,2006-03-27,,,199966943,1999-12-29,,,,PEND,DIETARY SUPPLEMENT FOR SUPPORTING CEREBROVASCULAR TONE,0,0
PCT/US99/14417,1999-06-25,?,PCT,DAY,MICHAEL,HENRY,77048,2879,313,422000,,None,617122-3,256,10nov2001 00:00:00,9200,2006-03-27,,,200007210,2000-02-10,,,,PEND,FLAT PANEL DISPLAY WALLS AND METHODS FOR FORMING SUCH,0,0
